站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
1111,20230511204557,16.3,1021.8,51,140,0.7,0.7,10169.5
58015,20230511204557,30.5,1009.0,43,71,10.6,0.3,10238.4
58102,20230511204557,24.3,1018.6,81,128,9.0,1.2,10037.4
58118,20230511204557,27.2,1022.7,96,207,13.3,0.4,10437.5
58122,20230511204557,16.1,1023.9,60,349,7.3,1.0,10478.8
58203,20230511204557,8.9,1010.8,38,77,14.4,0.3,10063.4
58215,20230511204557,33.8,1014.4,20,111,9.5,0.7,10209.0
58221,20230511204557,34.7,1010.8,71,17,5.2,0.2,10295.5
58225,20230511204557,23.2,1005.3,88,42,12.5,0.6,10466.0
58236,20230511204557,23.2,1012.0,73,22,6.6,0.9,10406.2
58311,20230511204557,13.3,1005.4,20,46,7.8,0.2,10126.4
58314,20230511204557,17.1,1015.6,29,201,4.7,0.7,10223.8
58319,20230511204557,4.6,1008.7,88,179,9.5,1.0,10366.6
58321,20230511204557,23.3,1018.4,57,132,3.5,0.5,10445.9
58326,20230511204557,7.8,1007.2,14,355,8.7,1.3,10473.4
58336,20230511204557,10.5,1003.5,11,31,1.7,0.2,10143.0
58338,20230511204557,15.8,1006.4,76,177,5.6,1.4,10489.1
58414,20230511204557,20.7,1026.3,75,168,11.3,0.7,10397.9
58419,20230511204557,13.1,1008.5,56,173,0.2,1.3,10045.4
58424,20230511204557,18.9,1001.9,6,187,12.9,1.5,10280.8
58429,20230511204557,22.8,1003.7,56,96,4.9,1.5,10172.4
58436,20230511204557,34.3,1009.5,96,143,8.4,0.1,10051.3
58437,20230511204557,11.7,1011.2,94,329,1.2,1.2,10338.3
58520,20230511204557,2.2,1007.9,27,148,7.5,0.7,10405.3
58531,20230511204557,8.0,1020.0,19,207,5.7,1.3,10144.7
54406,20230511204557,31.6,1002.1,63,264,5.2,0.9,10227.1
54416,20230511204557,24.5,1011.5,72,47,8.3,1.2,10377.6
54511,20230511204557,28.1,1004.0,95,94,3.6,0.4,10258.0
58725,20230511204557,34.6,1022.8,91,91,0.3,1.2,10108.1
58730,20230511204557,27.4,1005.6,55,339,14.4,0.4,10174.7
58731,20230511204557,15.2,1003.5,15,136,0.6,1.0,10458.2
58734,20230511204557,6.8,1003.2,64,266,11.9,0.5,10178.0
58737,20230511204557,14.1,1011.4,77,80,13.4,0.6,10098.7
58744,20230511204557,24.6,1022.1,22,62,1.9,0.8,10115.2
58754,20230511204557,15.4,1002.6,61,172,7.4,1.4,10066.6
58818,20230511204557,1.8,1026.2,77,93,11.7,1.1,10319.7
58820,20230511204557,0.2,1014.9,13,24,13.0,1.2,10231.2
58834,20230511204557,20.5,1002.9,8,116,14.2,0.1,10264.4
58837,20230511204557,3.8,1004.4,32,174,0.5,1.5,10046.4
58843,20230511204557,20.9,1007.3,40,353,13.2,0.3,10269.0
58846,20230511204557,21.7,1001.3,99,20,10.9,0.6,10381.2
58847,20230511204557,28.2,1006.3,2,17,6.4,0.0,10342.1
58911,20230511204557,0.8,1022.9,73,359,10.0,1.1,10375.6
58918,20230511204557,26.3,1025.4,85,319,1.9,1.5,10423.7
58921,20230511204557,8.9,1011.4,40,325,0.2,1.3,10414.1
58926,20230511204557,5.2,1011.2,82,82,5.7,1.0,10209.7
58927,20230511204557,31.6,1001.8,25,169,3.4,0.0,10185.5
58931,20230511204557,14.1,1012.9,46,143,0.5,1.3,10309.1
58933,20230511204557,25.8,1016.1,88,39,5.0,0.7,10446.5
58936,20230511204557,27.2,1016.3,82,7,12.0,1.1,10278.9
