站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
1111,20230511204057,15.4,1020.4,99,223,2.4,1.4,10317.4
58015,20230511204057,17.5,1025.8,91,307,10.8,1.5,10358.1
58102,20230511204057,31.5,1014.2,8,186,14.5,1.4,10093.8
58118,20230511204057,30.4,1025.1,10,11,1.3,1.1,10361.2
58122,20230511204057,23.2,1001.1,93,187,8.1,1.4,10284.4
58203,20230511204057,3.4,1003.1,24,101,0.9,0.1,10172.6
58215,20230511204057,20.3,1021.6,33,30,3.4,0.3,10313.7
58221,20230511204057,10.7,1001.7,67,121,6.9,0.0,10466.5
58225,20230511204057,29.6,1019.3,93,349,14.2,1.2,10108.6
58236,20230511204057,0.4,1003.4,3,72,7.0,0.6,10039.3
58311,20230511204057,29.0,1023.3,4,203,1.0,1.5,10033.0
58314,20230511204057,2.4,1026.0,44,275,10.8,1.3,10051.1
58319,20230511204057,6.4,1007.9,21,243,6.5,0.4,10075.2
58321,20230511204057,11.7,1022.1,45,272,3.0,0.3,10372.2
58326,20230511204057,28.7,1008.0,79,215,6.8,1.3,10013.1
58336,20230511204057,26.8,1001.5,66,346,10.1,0.0,10391.9
58338,20230511204057,14.4,1017.6,42,62,6.3,0.2,10090.9
58414,20230511204057,28.1,1012.8,55,155,12.9,1.0,10287.2
58419,20230511204057,24.9,1009.2,32,183,7.2,0.2,10184.2
58424,20230511204057,9.1,1017.5,91,15,11.8,1.5,10276.3
58429,20230511204057,23.1,1025.2,8,22,9.0,0.9,10100.3
58436,20230511204057,33.6,1008.8,34,131,14.1,1.5,10421.9
58437,20230511204057,12.2,1022.3,86,324,13.5,1.3,10067.0
58520,20230511204057,20.6,1002.6,100,205,2.6,0.5,10144.1
58531,20230511204057,24.3,1022.6,35,85,1.3,0.6,10237.6
54406,20230511204057,31.3,1015.3,76,47,10.8,0.5,10185.6
54416,20230511204057,4.9,1001.3,10,324,8.6,0.2,10047.6
54511,20230511204057,6.4,1024.8,10,324,9.4,0.8,10424.6
58725,20230511204057,31.7,1012.2,22,47,9.5,1.2,10198.8
58730,20230511204057,8.7,1019.2,85,211,9.7,0.8,10361.0
58731,20230511204057,12.8,1015.6,62,310,11.9,0.6,10310.8
58734,20230511204057,17.7,1015.6,49,142,13.2,0.1,10025.3
58737,20230511204057,12.8,1001.7,8,211,1.6,0.0,10029.8
58744,20230511204057,0.0,1002.0,5,339,4.2,0.8,10005.6
58754,20230511204057,10.1,1020.5,54,58,2.1,0.6,10387.1
58818,20230511204057,11.5,1006.6,49,31,0.4,0.8,10431.6
58820,20230511204057,0.7,1006.5,52,235,12.2,0.2,10314.9
58834,20230511204057,3.6,1004.0,38,151,8.1,0.9,10172.3
58837,20230511204057,6.1,1023.9,53,37,3.4,0.1,10019.2
58843,20230511204057,9.9,1018.8,29,151,11.1,0.4,10280.4
58846,20230511204057,2.0,1020.9,36,252,12.9,0.2,10382.0
58847,20230511204057,10.7,1019.1,87,231,3.8,1.5,10307.6
58911,20230511204057,19.1,1024.7,65,235,10.3,0.1,10161.4
58918,20230511204057,2.1,1007.1,84,237,0.2,0.0,10319.6
58921,20230511204057,23.9,1025.5,3,349,11.5,1.3,10471.0
58926,20230511204057,22.1,1021.2,54,30,12.5,1.5,10233.7
58927,20230511204057,0.2,1008.8,37,103,13.2,0.4,10228.6
58931,20230511204057,19.9,1020.1,47,184,9.8,1.0,10429.9
58933,20230511204057,7.4,1003.9,23,295,3.4,0.5,10288.7
58936,20230511204057,23.7,1024.4,84,70,4.4,0.0,10048.7
58944,20230511204057,22.3,1015.6,94,63,8.9,1.3,10421.5
