站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
1111,20230511202357,23.8,1009.4,24,42,4.6,0.8,10236.3
58015,20230511202357,16.4,1008.0,82,6,6.9,1.2,10387.9
58102,20230511202357,29.2,1015.0,29,329,8.5,0.2,10336.7
58118,20230511202357,26.7,1023.4,8,192,5.7,0.3,10464.1
58122,20230511202357,1.2,1023.4,52,5,3.5,0.6,10121.7
58203,20230511202357,13.8,1012.8,50,264,4.3,1.0,10376.6
58215,20230511202357,7.4,1011.5,44,114,6.3,1.5,10018.3
58221,20230511202357,14.6,1020.3,72,323,0.2,1.0,10480.5
58225,20230511202357,27.3,1002.0,83,85,14.6,1.3,10165.1
58236,20230511202357,8.5,1013.1,62,14,9.9,0.7,10174.8
58311,20230511202357,22.6,1015.6,50,156,0.4,0.4,10368.0
58314,20230511202357,26.8,1002.1,51,207,7.6,1.3,10420.0
58319,20230511202357,11.4,1020.8,70,160,6.8,1.5,10076.4
58321,20230511202357,22.4,1006.0,20,57,14.8,0.1,10334.1
58326,20230511202357,12.8,1018.2,31,30,13.5,0.3,10361.4
58336,20230511202357,26.8,1006.1,55,138,4.4,0.4,10173.1
58338,20230511202357,21.6,1014.8,28,310,3.1,0.0,10338.1
58414,20230511202357,2.3,1001.8,29,58,8.5,0.4,10172.8
58419,20230511202357,26.6,1008.6,80,151,12.5,0.1,10061.5
58424,20230511202357,13.4,1018.0,26,32,12.3,0.3,10154.1
58429,20230511202357,32.0,1017.5,89,219,1.5,1.5,10025.0
58436,20230511202357,34.8,1004.9,33,281,1.4,1.3,10109.9
58437,20230511202357,20.5,1002.3,40,354,9.4,1.1,10105.6
58520,20230511202357,1.3,1003.2,45,73,7.7,0.9,10016.8
58531,20230511202357,20.6,1009.7,97,119,8.9,0.0,10496.2
54406,20230511202357,2.8,1012.1,1,16,6.7,1.2,10116.8
54416,20230511202357,4.6,1024.2,81,44,1.0,0.4,10431.4
54511,20230511202357,26.7,1015.6,90,307,12.5,0.9,10364.5
58725,20230511202357,3.8,1008.6,99,35,11.0,0.2,10057.6
58730,20230511202357,11.3,1017.2,38,78,3.6,0.1,10152.6
58731,20230511202357,30.8,1012.4,76,49,7.3,0.4,10425.7
58734,20230511202357,24.4,1008.8,45,322,2.1,0.5,10483.4
58737,20230511202357,15.2,1004.5,36,71,2.6,0.1,10264.3
58744,20230511202357,22.4,1007.7,87,320,6.6,0.3,10433.2
58754,20230511202357,17.7,1015.5,18,18,8.9,1.2,10445.0
58818,20230511202357,12.1,1024.7,73,140,3.2,1.3,10355.7
58820,20230511202357,29.4,1010.2,70,42,2.3,0.8,10481.5
58834,20230511202357,20.6,1021.1,65,312,12.3,1.0,10368.6
58837,20230511202357,21.7,1007.8,35,284,14.3,1.1,10152.1
58843,20230511202357,18.8,1001.5,2,48,10.2,1.0,10234.6
58846,20230511202357,3.4,1023.3,45,112,14.5,0.1,10351.8
58847,20230511202357,32.5,1005.9,53,172,6.0,0.0,10008.5
58911,20230511202357,29.6,1012.6,49,268,9.9,1.0,10494.1
58918,20230511202357,8.6,1009.3,28,346,3.8,0.8,10477.2
58921,20230511202357,0.0,1015.6,76,311,14.9,1.1,10050.8
58926,20230511202357,6.8,1003.4,71,357,5.5,1.4,10236.8
58927,20230511202357,1.8,1001.3,6,224,1.6,0.1,10271.5
