站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
1111,20230511202257,10.1,1018.6,5,247,2.5,0.2,10012.8
58015,20230511202257,4.3,1007.7,8,133,4.2,0.2,10326.0
58102,20230511202257,4.6,1025.7,52,184,1.5,1.5,10469.2
58118,20230511202257,33.9,1025.8,50,282,13.5,1.0,10314.2
58122,20230511202257,33.4,1009.7,1,2,6.8,0.5,10377.5
58203,20230511202257,18.3,1018.3,98,179,7.1,0.8,10415.6
58215,20230511202257,27.9,1024.7,27,100,10.7,1.3,10423.5
58221,20230511202257,30.9,1007.4,40,342,14.2,0.0,10252.1
58225,20230511202257,19.4,1008.2,63,149,12.4,0.7,10041.3
58236,20230511202257,6.1,1023.5,45,179,14.3,0.9,10330.6
58311,20230511202257,7.1,1021.9,96,72,12.2,1.4,10397.4
58314,20230511202257,34.4,1015.1,22,5,10.2,1.2,10204.4
58319,20230511202257,17.1,1019.1,97,356,1.3,1.1,10382.1
58321,20230511202257,20.5,1013.6,1,156,4.6,0.1,10338.1
58326,20230511202257,0.1,1014.5,68,80,14.0,1.4,10316.7
58336,20230511202257,11.3,1015.3,89,25,14.2,1.3,10042.1
58338,20230511202257,23.8,1006.5,23,173,7.3,0.7,10126.0
58414,20230511202257,20.3,1019.7,60,28,5.8,1.2,10086.3
58419,20230511202257,18.0,1005.9,94,179,14.9,0.8,10333.7
58424,20230511202257,5.3,1001.1,52,227,6.7,0.8,10473.8
58429,20230511202257,26.3,1000.1,8,355,2.1,1.3,10267.4
58436,20230511202257,19.0,1019.2,72,293,8.4,1.4,10394.3
58437,20230511202257,3.4,1021.2,31,268,5.3,1.1,10184.4
58520,20230511202257,8.7,1014.5,60,138,6.4,1.5,10114.9
58531,20230511202257,8.0,1007.8,11,280,10.4,1.3,10079.5
54406,20230511202257,3.4,1023.6,97,114,0.3,1.5,10347.4
54416,20230511202257,7.9,1011.2,74,192,14.6,1.1,10438.3
54511,20230511202257,33.2,1013.4,34,95,6.6,0.8,10111.2
58725,20230511202257,5.6,1011.0,12,73,10.8,1.0,10428.1
58730,20230511202257,33.4,1010.6,54,15,4.4,0.9,10128.2
58731,20230511202257,11.4,1015.6,82,128,12.3,1.0,10441.2
58734,20230511202257,23.3,1005.6,54,311,14.2,0.2,10149.3
58737,20230511202257,3.9,1019.6,33,203,3.6,1.5,10054.1
58744,20230511202257,1.4,1000.7,15,132,1.1,0.3,10199.9
58754,20230511202257,28.3,1000.9,81,125,4.2,1.3,10242.2
58818,20230511202257,34.9,1004.9,67,276,3.3,1.1,10423.4
58820,20230511202257,28.3,1014.0,39,16,14.3,1.0,10303.5
58834,20230511202257,11.0,1012.8,90,196,13.5,1.5,10307.4
58837,20230511202257,33.6,1002.8,52,224,14.4,0.8,10483.2
58843,20230511202257,24.9,1023.0,8,283,6.5,0.1,10224.9
58846,20230511202257,10.5,1003.1,4,235,0.6,0.6,10290.2
58847,20230511202257,11.9,1006.4,97,111,13.2,0.9,10024.2
58911,20230511202257,28.7,1005.7,1,218,11.7,1.5,10500.0
58918,20230511202257,20.7,1019.0,37,49,8.1,0.3,10279.6
58921,20230511202257,15.9,1017.8,97,228,11.6,1.5,10326.3
58926,20230511202257,30.0,1012.3,92,174,11.0,1.1,10313.5
58927,20230511202257,13.4,1024.6,18,14,2.1,1.3,10447.9
58931,20230511202257,19.3,1009.0,60,212,10.6,0.3,10391.9
58933,20230511202257,24.8,1026.2,59,227,6.2,1.4,10419.1
58936,20230511202257,13.7,1009.2,63,174,5.3,0.2,10178.0
58944,20230511202257,12.4,1005.3,39,337,12.2,1.1,10466.0
59113,20230511202257,25.5,1020.9,58,295,14.4,0.4,10123.7
59126,20230511202257,33.2,1019.8,46,121,11.2,1.1,10391.9
59133,20230511202257,11.6,1017.6,68,188,7.0,1.0,10072.0
59134,20230511202257,12.9,1001.8,95,226,3.1,0.0,10422.1
59321,20230511202257,14.8,1020.9,69,122,11.3,1.3,10317.6
52323,20230511202257,0.1,1002.7,30,72,6.5,1.4,10298.8
52418,20230511202257,13.7,1000.9,39,217,14.2,0.2,10143.4
52424,20230511202257,33.6,1024.5,32,186,12.8,1.3,10388.5
52436,20230511202257,10.0,1021.0,22,229,14.9,0.5,10019.5
52446,20230511202257,23.1,1011.6,62,205,6.5,0.7,10494.6
52447,20230511202257,32.9,1020.9,48,293,9.9,1.4,10387.0
52533,20230511202257,33.1,1009.1,88,26,3.8,1.0,10449.4
52546,20230511202257,24.5,1012.5,71,309,5.5,0.3,10096.2
52652,20230511202257,23.3,1013.0,75,84,14.8,0.3,10424.1
52661,20230511202257,28.8,1008.0,43,66,0.0,0.6,10245.0
52674,20230511202257,20.5,1002.8,30,264,2.6,0.0,10012.0
52679,20230511202257,34.0,1004.3,97,252,3.4,1.0,10261.7
52681,20230511202257,32.1,1012.7,65,30,13.9,0.6,10233.1
52787,20230511202257,18.2,1025.0,28,252,5.8,1.0,10270.7
52797,20230511202257,9.5,1007.0,59,291,14.0,1.2,10397.0
52884,20230511202257,2.3,1015.0,11,192,14.9,0.6,10158.2
52895,20230511202257,19.0,1025.9,30,248,3.1,0.1,10445.5
52983,20230511202257,24.9,1013.0,6,89,6.3,1.3,10421.9
52984,20230511202257,28.6,1000.5,14,201,6.7,1.1,10201.7
52986,20230511202257,6.6,1018.5,4,35,2.8,1.4,10219.6
52996,20230511202257,16.3,1023.2,76,164,4.7,1.2,10314.3
53821,20230511202257,1.3,1007.7,76,173,3.7,0.5,10498.5
53915,20230511202257,1.7,1011.1,29,123,12.3,0.9,10072.7
53923,20230511202257,23.8,1022.9,53,59,8.6,0.0,10397.1
56074,20230511202257,4.2,1013.0,86,43,9.2,0.0,10361.0
56080,20230511202257,25.1,1001.3,57,202,7.2,1.5,10146.2
56093,20230511202257,30.5,1025.9,42,142,3.2,1.0,10430.5
56096,20230511202257,6.5,1013.2,47,15,8.6,0.7,10342.9
57014,20230511202257,12.3,1003.0,73,309,2.7,0.1,10048.0
57996,20230511202257,2.7,1016.6,97,63,9.0,0.4,10167.6
59072,20230511202257,22.0,1023.4,17,136,10.0,1.3,10336.1
59082,20230511202257,1.0,1022.6,30,318,5.1,0.7,10224.6
59087,20230511202257,8.0,1021.4,33,264,13.1,0.1,10239.5
59088,20230511202257,27.9,1003.4,92,82,8.6,1.5,10488.0
59096,20230511202257,8.4,1000.2,35,322,2.6,0.2,10346.5
59097,20230511202257,30.3,1015.4,11,311,4.3,0.3,10011.1
59107,20230511202257,19.9,1022.8,89,133,4.5,0.4,10497.3
59116,20230511202257,7.1,1003.2,5,297,4.4,1.1,10127.1
59117,20230511202257,9.5,1001.4,69,350,12.6,0.6,10283.3
59271,20230511202257,21.6,1024.4,76,23,11.5,1.3,10403.9
59278,20230511202257,27.5,1004.5,97,184,4.9,0.0,10469.0
59280,20230511202257,4.6,1019.9,89,322,3.6,0.0,10283.1
59287,20230511202257,0.9,1002.9,83,14,7.3,0.2,10395.9
59289,20230511202257,22.8,1010.4,34,66,11.0,0.0,10421.8
59293,20230511202257,1.9,1005.8,89,166,7.8,1.2,10057.0
59294,20230511202257,19.3,1023.1,82,93,3.2,0.1,10469.1
59298,20230511202257,11.6,1004.5,8,351,10.6,0.2,10265.2
59303,20230511202257,30.0,1023.9,95,213,4.9,1.5,10093.5
59304,20230511202257,33.1,1015.2,34,197,3.5,0.9,10321.5
59306,20230511202257,9.0,1017.3,20,173,3.1,0.0,10156.0
59310,20230511202257,10.8,1009.3,16,33,9.0,1.4,10390.4
59316,20230511202257,26.2,1020.1,55,247,1.1,0.8,10191.7
59317,20230511202257,27.4,1001.7,6,263,11.4,0.6,10195.0
59324,20230511202257,28.3,1009.4,90,128,12.4,0.4,10082.6
59456,20230511202257,21.8,1005.7,81,270,3.7,1.1,10418.9
59462,20230511202257,17.8,1015.7,93,285,4.0,1.4,10139.4
59478,20230511202257,21.9,1005.3,18,185,12.5,1.4,10148.5
59485,20230511202257,31.2,1014.5,55,343,8.1,0.7,10278.7
