站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
1111,20230511202957,31.4,1015.8,69,121,8.6,1.4,10314.5
58015,20230511202957,25.9,1006.4,60,6,12.4,0.6,10099.4
58102,20230511202957,15.1,1015.0,17,139,8.7,0.9,10116.5
58118,20230511202957,3.3,1001.2,2,321,3.1,1.1,10453.6
58122,20230511202957,28.8,1002.4,99,17,10.7,1.4,10019.9
58203,20230511202957,22.0,1015.1,3,235,11.2,0.5,10338.5
58215,20230511202957,0.9,1012.4,55,293,4.1,1.4,10477.0
58221,20230511202957,11.9,1025.7,39,123,12.6,0.3,10344.4
58225,20230511202957,18.4,1012.3,62,58,11.2,0.3,10403.1
58236,20230511202957,20.3,1002.4,31,7,3.7,0.4,10285.5
58311,20230511202957,34.4,1020.4,37,18,1.0,0.6,10483.5
58314,20230511202957,21.9,1006.5,16,291,7.4,1.0,10102.3
58319,20230511202957,2.4,1017.5,51,350,11.4,1.5,10181.7
58321,20230511202957,6.8,1025.4,22,10,0.5,0.3,10081.3
58326,20230511202957,0.6,1020.9,73,71,12.8,0.0,10098.7
58336,20230511202957,15.6,1014.8,34,301,2.0,0.1,10077.2
58338,20230511202957,16.9,1005.8,87,137,5.0,0.0,10410.7
58414,20230511202957,19.1,1009.1,62,143,2.7,1.4,10300.7
58419,20230511202957,6.2,1000.8,64,156,11.9,0.0,10390.2
58424,20230511202957,19.9,1026.1,50,227,9.9,1.5,10038.1
58429,20230511202957,2.1,1017.2,1,236,3.7,1.4,10251.0
58436,20230511202957,25.6,1013.3,26,304,13.1,0.6,10004.6
58437,20230511202957,23.3,1025.5,97,122,0.6,0.4,10178.4
58520,20230511202957,8.9,1016.8,39,35,9.4,1.5,10485.8
58531,20230511202957,27.6,1015.0,44,207,0.4,1.5,10153.0
54406,20230511202957,20.9,1015.1,2,61,1.4,1.4,10296.7
54416,20230511202957,23.3,1002.5,89,176,8.7,1.2,10411.2
54511,20230511202957,20.2,1022.6,70,31,9.4,1.1,10058.2
58725,20230511202957,25.3,1015.2,61,277,1.7,0.7,10475.7
58730,20230511202957,29.5,1018.1,93,25,3.7,0.1,10477.3
58731,20230511202957,8.5,1014.6,88,91,13.8,0.7,10321.5
58734,20230511202957,4.7,1016.2,12,213,1.0,0.0,10321.7
58737,20230511202957,34.2,1013.0,43,226,8.7,1.5,10018.3
58744,20230511202957,23.4,1023.5,92,88,1.3,1.1,10460.9
58754,20230511202957,2.4,1003.0,97,236,5.4,1.2,10428.2
58818,20230511202957,22.2,1016.1,20,350,2.5,0.2,10043.9
58820,20230511202957,24.0,1008.3,41,141,10.3,1.5,10176.3
58834,20230511202957,30.4,1013.7,75,286,5.2,0.9,10095.8
58837,20230511202957,14.5,1023.8,26,340,3.5,0.1,10248.2
58843,20230511202957,33.2,1014.2,41,222,1.9,1.1,10172.5
58846,20230511202957,32.6,1013.7,1,132,5.5,0.1,10311.5
58847,20230511202957,20.6,1011.5,65,310,2.2,1.4,10294.6
58911,20230511202957,13.5,1017.5,28,116,6.5,0.4,10040.0
58918,20230511202957,8.8,1025.1,98,340,13.3,0.9,10082.7
58921,20230511202957,2.0,1006.2,31,309,8.9,1.5,10495.3
58926,20230511202957,5.5,1003.8,60,324,10.8,1.1,10095.9
58927,20230511202957,18.8,1009.6,7,8,12.6,0.2,10070.8
58931,20230511202957,4.1,1018.8,75,21,1.6,1.5,10403.1
58933,20230511202957,4.5,1022.6,60,324,11.0,1.0,10048.1
58936,20230511202957,17.3,1020.3,40,237,5.1,1.4,10148.6
58944,20230511202957,25.9,1013.1,12,303,13.7,0.9,10086.7
59113,20230511202957,30.3,1000.3,61,236,4.2,1.0,10414.7
59126,20230511202957,28.7,1007.5,36,350,7.3,1.5,10074.4
59133,20230511202957,1.5,1007.7,21,314,1.2,0.7,10054.6
59134,20230511202957,30.1,1010.7,37,236,8.1,0.3,10264.0
59321,20230511202957,12.0,1018.4,27,136,7.0,1.5,10292.9
52323,20230511202957,30.2,1009.5,47,184,13.7,1.0,10069.7
52418,20230511202957,9.0,1023.9,3,303,6.6,1.4,10402.9
52424,20230511202957,34.9,1004.9,13,335,14.3,0.0,10197.3
52436,20230511202957,8.7,1013.7,95,37,11.4,0.0,10490.8
52446,20230511202957,24.4,1007.1,30,258,3.7,0.0,10159.7
52447,20230511202957,14.1,1009.0,10,347,3.9,1.1,10427.7
52533,20230511202957,19.6,1007.6,61,257,12.2,0.4,10180.1
52546,20230511202957,21.5,1004.3,56,294,12.2,0.9,10175.1
