站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
1111,20230518204057,28.6,1000.0,24,176,5.8,1.2,10355.6
58015,20230518204057,12.3,1000.0,69,47,11.9,0.6,10209.0
58102,20230518204057,17.3,1014.8,33,286,1.2,1.3,10239.8
58118,20230518204057,5.9,1022.8,20,46,0.1,0.3,10349.6
58122,20230518204057,7.6,1008.0,56,252,6.0,0.2,10342.5
58203,20230518204057,10.7,1010.6,39,42,6.3,0.2,10260.3
58215,20230518204057,34.1,1002.6,31,36,6.9,0.2,10183.1
58221,20230518204057,23.1,1010.2,98,217,5.2,1.2,10343.5
58225,20230518204057,9.0,1010.2,95,265,11.3,1.3,10422.8
58236,20230518204057,18.6,1018.0,59,238,9.3,1.2,10010.0
58311,20230518204057,33.0,1023.4,22,121,13.1,1.5,10306.4
58314,20230518204057,14.1,1013.5,52,274,6.2,0.8,10271.5
58319,20230518204057,27.4,1024.8,39,301,0.6,0.0,10359.7
58321,20230518204057,15.0,1013.3,97,208,1.5,1.4,10338.6
58326,20230518204057,31.3,1023.7,59,219,0.7,0.7,10331.0
58336,20230518204057,25.2,1000.0,50,240,0.5,0.0,10138.2
58338,20230518204057,11.5,1021.8,10,83,7.3,1.5,10033.0
58414,20230518204057,3.1,1020.0,24,62,1.9,0.4,10428.2
58419,20230518204057,23.3,1015.6,98,7,12.9,0.4,10235.0
58424,20230518204057,24.2,1004.7,79,206,7.2,0.7,10364.2
58429,20230518204057,21.8,1023.1,98,286,13.6,0.6,10047.2
58436,20230518204057,14.1,1002.0,39,71,14.5,0.1,10176.9
58437,20230518204057,15.3,1006.3,98,333,6.2,0.2,10375.2
58520,20230518204057,15.3,1024.9,19,251,9.2,0.4,10485.9
58531,20230518204057,0.6,1016.2,28,144,11.0,0.0,10090.8
54406,20230518204057,11.2,1016.5,25,89,4.5,0.2,10119.6
54416,20230518204057,34.9,1012.8,47,197,10.9,0.3,10032.1
54511,20230518204057,19.5,1007.7,15,294,14.6,0.4,10223.5
58725,20230518204057,21.5,1010.2,7,139,6.1,0.1,10343.9
58730,20230518204057,0.6,1024.2,98,80,9.7,0.1,10176.2
58731,20230518204057,21.4,1010.8,83,264,10.9,0.0,10193.2
58734,20230518204057,29.7,1011.8,56,193,2.0,0.5,10372.8
58737,20230518204057,27.2,1001.0,57,261,8.9,1.0,10219.1
58744,20230518204057,23.2,1009.4,76,194,1.1,0.4,10040.4
58754,20230518204057,32.5,1000.1,77,204,8.1,0.6,10330.1
58818,20230518204057,7.7,1011.2,35,32,12.0,0.2,10384.7
58820,20230518204057,30.6,1010.3,17,163,2.1,0.0,10164.5
58834,20230518204057,14.6,1013.8,97,215,8.8,0.3,10021.1
58837,20230518204057,8.8,1003.5,36,162,14.3,1.5,10048.6
58843,20230518204057,2.7,1012.0,8,167,6.8,1.4,10114.6
58846,20230518204057,13.4,1012.4,90,43,9.7,0.2,10134.6
58847,20230518204057,34.6,1000.7,23,131,2.1,1.4,10421.6
58911,20230518204057,8.6,1005.6,88,102,3.8,0.6,10049.2
58918,20230518204057,25.7,1018.3,44,77,6.5,0.2,10022.1
58921,20230518204057,25.0,1007.9,9,14,2.8,0.6,10170.7
58926,20230518204057,9.7,1011.3,4,288,14.0,0.5,10407.6
58927,20230518204057,26.4,1003.3,78,314,13.6,0.0,10056.8
58931,20230518204057,33.7,1021.1,66,18,8.1,0.8,10217.8
58933,20230518204057,5.6,1023.1,45,280,0.5,0.0,10334.5
58936,20230518204057,8.9,1008.4,64,204,1.4,0.6,10458.7
58944,20230518204057,23.4,1011.8,45,120,8.6,1.3,10144.1
59113,20230518204057,4.9,1020.8,37,350,12.9,1.3,10284.8
59126,20230518204057,15.7,1006.2,29,258,7.5,0.4,10066.8
59133,20230518204057,2.6,1001.9,97,248,13.5,1.5,10436.7
59134,20230518204057,7.9,1004.0,98,259,6.8,0.1,10176.8
59321,20230518204057,32.6,1018.6,79,112,10.4,1.0,10243.5
52323,20230518204057,28.8,1022.3,97,67,8.2,0.0,10426.6
52418,20230518204057,21.1,1014.4,49,147,8.0,0.1,10221.8
52424,20230518204057,5.4,1022.4,93,79,8.2,0.1,10210.5
52436,20230518204057,5.8,1011.7,11,221,0.1,0.4,10356.4
52446,20230518204057,30.6,1014.0,29,143,7.5,0.4,10119.8
52447,20230518204057,32.2,1004.6,1,164,5.2,0.9,10278.4
52533,20230518204057,16.0,1009.1,64,113,5.2,0.4,10461.5
52546,20230518204057,31.8,1009.0,4,359,13.0,0.1,10232.1
52652,20230518204057,18.8,1002.1,98,78,1.1,0.6,10453.0
52661,20230518204057,25.2,1002.7,29,25,10.5,0.8,10222.7
52674,20230518204057,18.5,1010.6,17,93,7.9,0.8,10326.5
52679,20230518204057,3.9,1019.1,73,310,13.3,1.1,10255.4
52681,20230518204057,15.3,1000.8,14,26,5.1,1.1,10484.6
52787,20230518204057,31.1,1007.9,23,140,9.3,0.6,10167.8
52797,20230518204057,23.5,1013.4,11,220,1.2,1.4,10440.4
52884,20230518204057,22.4,1020.3,6,306,4.4,0.9,10334.3
52895,20230518204057,6.8,1025.1,59,5,5.1,1.5,10279.0
52983,20230518204057,13.8,1009.2,82,276,7.3,0.7,10003.9
52984,20230518204057,32.9,1024.9,18,58,3.5,1.5,10143.3
52986,20230518204057,17.4,1020.6,37,281,1.4,0.1,10339.2
52996,20230518204057,22.5,1021.0,65,3,12.9,1.0,10173.9
53821,20230518204057,15.4,1024.0,33,237,8.0,0.1,10131.4
53915,20230518204057,4.8,1022.6,75,350,12.7,0.7,10165.1
53923,20230518204057,16.6,1005.6,72,313,12.9,0.7,10032.2
56074,20230518204057,18.9,1013.4,75,88,12.1,1.0,10222.7
56080,20230518204057,18.2,1001.7,41,227,5.8,1.2,10479.3
56093,20230518204057,6.3,1017.0,30,73,11.1,1.1,10130.1
56096,20230518204057,20.6,1018.7,57,354,2.0,1.5,10102.4
57014,20230518204057,12.3,1002.2,75,96,3.8,0.5,10195.2
57996,20230518204057,7.0,1003.9,9,334,5.2,0.8,10396.3
59072,20230518204057,3.0,1010.8,78,300,6.5,1.0,10141.8
59082,20230518204057,4.8,1006.7,62,128,6.1,1.4,10447.6
59087,20230518204057,18.6,1014.7,42,154,13.4,1.2,10308.8
59088,20230518204057,15.8,1025.2,88,256,0.8,0.8,10167.0
59096,20230518204057,20.1,1019.6,4,94,7.1,0.8,10460.0
59097,20230518204057,21.7,1024.6,73,146,5.0,1.3,10404.9
59107,20230518204057,4.5,1009.8,61,4,5.1,0.2,10467.6
59116,20230518204057,16.8,1002.2,62,154,4.1,0.4,10320.9
59117,20230518204057,34.0,1020.6,53,252,14.3,1.5,10227.2
59271,20230518204057,11.0,1015.0,14,155,12.3,0.5,10430.9
59278,20230518204057,24.4,1002.8,9,307,2.2,1.2,10222.7
59280,20230518204057,22.4,1010.7,63,84,14.6,1.5,10413.2
59287,20230518204057,17.8,1020.4,29,267,2.0,0.8,10475.0
59289,20230518204057,7.1,1013.2,38,272,7.4,1.4,10305.9
59293,20230518204057,3.4,1024.5,61,26,5.6,0.0,10363.3
59294,20230518204057,23.2,1007.6,98,67,11.5,0.4,10160.9
59298,20230518204057,7.0,1004.7,3,291,6.1,0.6,10076.0
59303,20230518204057,17.9,1008.8,42,221,10.0,0.7,10197.0
59304,20230518204057,35.0,1008.1,25,357,11.9,0.9,10210.8
59306,20230518204057,27.7,1018.7,69,147,4.8,1.0,10155.2
59310,20230518204057,3.0,1005.0,86,298,1.9,0.3,10062.5
59316,20230518204057,7.9,1006.0,73,177,13.5,0.9,10272.7
59317,20230518204057,31.7,1025.9,57,244,7.6,1.2,10025.0
59324,20230518204057,9.3,1018.7,97,62,7.7,1.3,10062.9
59456,20230518204057,34.2,1019.8,44,183,1.5,1.2,10294.5
59462,20230518204057,16.3,1006.0,56,287,4.2,1.1,10165.9
59478,20230518204057,34.8,1007.5,8,186,8.5,0.3,10207.2
