站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
1111,20230518204657,3.0,1013.2,68,304,1.3,1.1,10355.5
58015,20230518204657,22.9,1009.0,18,150,10.9,0.1,10490.8
58102,20230518204657,16.2,1016.9,1,313,8.3,0.5,10346.6
58118,20230518204657,21.8,1019.9,100,50,2.1,0.6,10421.5
58122,20230518204657,21.7,1010.5,78,326,2.7,1.2,10152.5
58203,20230518204657,17.5,1026.4,81,186,8.7,0.5,10008.5
58215,20230518204657,21.4,1015.6,60,176,9.8,0.8,10202.0
58221,20230518204657,19.9,1011.0,35,244,12.6,0.1,10249.4
58225,20230518204657,16.6,1013.7,49,131,2.2,0.5,10428.6
58236,20230518204657,32.5,1009.4,70,291,7.0,1.3,10157.6
58311,20230518204657,29.5,1020.6,36,75,11.7,1.4,10026.1
58314,20230518204657,30.9,1010.6,66,200,12.3,0.3,10014.5
58319,20230518204657,20.4,1006.6,81,208,12.8,0.8,10350.6
58321,20230518204657,34.0,1004.5,91,123,12.6,1.5,10013.3
58326,20230518204657,34.1,1004.4,6,286,6.5,1.2,10074.9
58336,20230518204657,30.4,1020.8,98,82,14.7,1.0,10290.3
58338,20230518204657,32.4,1022.0,81,122,10.1,1.2,10307.9
58414,20230518204657,28.2,1016.2,15,26,9.9,0.4,10158.4
58419,20230518204657,7.6,1005.9,38,165,3.6,0.2,10459.7
58424,20230518204657,21.2,1001.1,46,208,12.6,0.2,10289.9
58429,20230518204657,6.6,1017.3,99,326,12.3,1.4,10406.7
58436,20230518204657,26.7,1026.2,43,288,3.6,0.1,10218.1
58437,20230518204657,19.2,1010.0,38,142,13.7,0.6,10356.8
58520,20230518204657,9.5,1012.0,72,296,10.6,1.2,10380.5
58531,20230518204657,0.8,1026.2,61,48,12.2,0.2,10493.5
54406,20230518204657,23.7,1013.3,27,333,13.2,0.0,10007.4
54416,20230518204657,27.0,1006.2,82,183,14.5,0.2,10014.0
54511,20230518204657,22.5,1025.1,57,185,1.6,1.5,10020.5
58725,20230518204657,15.6,1009.2,99,308,11.1,0.6,10077.1
58730,20230518204657,14.6,1015.8,75,102,10.8,0.0,10142.6
58731,20230518204657,11.4,1024.1,91,258,5.0,0.3,10247.9
58734,20230518204657,13.2,1002.8,31,49,3.9,1.5,10163.8
58737,20230518204657,20.8,1016.3,69,11,1.6,0.6,10388.1
58744,20230518204657,0.5,1011.9,61,15,9.7,0.6,10240.9
58754,20230518204657,27.3,1000.7,6,288,11.0,1.1,10113.9
58818,20230518204657,1.6,1010.0,73,356,1.3,0.3,10175.2
58820,20230518204657,14.5,1023.4,73,189,6.2,0.4,10054.3
58834,20230518204657,25.0,1025.7,85,182,4.1,1.2,10474.8
58837,20230518204657,17.0,1025.0,27,299,6.9,0.4,10227.4
58843,20230518204657,9.5,1013.4,11,92,5.0,0.3,10222.7
58846,20230518204657,25.5,1007.5,86,138,8.4,1.3,10454.0
58847,20230518204657,26.7,1019.1,73,291,6.6,0.8,10132.5
58911,20230518204657,2.0,1006.2,23,80,13.4,0.8,10303.2
58918,20230518204657,13.3,1008.2,4,217,11.2,1.3,10057.0
58921,20230518204657,31.2,1003.1,30,187,8.8,1.1,10109.4
58926,20230518204657,24.1,1022.6,78,183,12.8,1.3,10196.3
58927,20230518204657,27.9,1000.2,100,353,0.9,0.1,10218.4
58931,20230518204657,7.2,1001.8,58,151,10.6,1.2,10285.9
