站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
1111,20230518204357,27.6,1011.7,49,284,0.9,0.8,10362.3
58015,20230518204357,27.6,1026.2,96,93,14.8,1.0,10269.9
58102,20230518204357,28.8,1021.4,28,324,0.6,1.1,10319.1
58118,20230518204357,31.2,1008.0,25,66,0.8,1.0,10283.0
58122,20230518204357,9.0,1022.5,72,195,10.9,0.7,10464.1
58203,20230518204357,14.8,1009.7,81,47,12.9,0.3,10385.2
58215,20230518204357,3.5,1026.0,89,44,11.1,0.7,10474.6
58221,20230518204357,18.0,1002.8,5,6,12.3,1.2,10105.2
58225,20230518204357,34.0,1004.6,34,277,1.3,0.4,10021.2
58236,20230518204357,19.4,1024.6,36,322,4.3,1.1,10255.6
58311,20230518204357,23.4,1014.7,55,224,11.9,1.0,10136.2
58314,20230518204357,18.8,1014.9,82,340,10.7,0.6,10070.4
58319,20230518204357,21.4,1000.6,76,77,14.9,1.3,10397.3
58321,20230518204357,12.4,1025.2,51,66,4.3,0.9,10146.3
58326,20230518204357,24.4,1024.3,51,334,4.5,0.4,10338.5
58336,20230518204357,1.9,1004.8,52,79,0.7,0.9,10072.6
58338,20230518204357,7.1,1002.8,31,240,14.1,0.1,10462.0
58414,20230518204357,19.5,1007.6,16,175,3.4,0.9,10018.3
58419,20230518204357,12.8,1008.2,76,118,5.5,1.3,10104.7
58424,20230518204357,15.9,1007.4,56,250,8.2,0.6,10252.3
58429,20230518204357,5.2,1006.8,74,211,11.6,1.1,10389.9
58436,20230518204357,31.5,1014.5,33,211,7.7,0.7,10085.2
58437,20230518204357,8.8,1003.4,5,232,11.8,0.3,10303.0
58520,20230518204357,2.7,1024.4,96,357,14.5,1.4,10228.2
58531,20230518204357,6.8,1009.6,21,91,10.6,1.3,10029.4
54406,20230518204357,12.5,1016.8,98,195,10.9,0.9,10093.1
54416,20230518204357,2.8,1012.0,97,251,9.6,0.5,10098.1
54511,20230518204357,26.6,1003.7,7,21,14.3,0.6,10343.0
58725,20230518204357,26.7,1008.1,70,208,6.9,0.1,10193.7
58730,20230518204357,20.7,1026.0,27,233,3.3,1.1,10068.6
58731,20230518204357,33.8,1016.7,27,132,3.7,1.0,10223.5
58734,20230518204357,22.4,1010.5,32,281,10.8,1.3,10500.0
58737,20230518204357,34.4,1004.8,13,142,5.0,0.9,10003.2
58744,20230518204357,12.6,1022.9,2,279,5.9,1.1,10099.3
58754,20230518204357,1.3,1000.3,93,61,6.0,0.6,10275.1
58818,20230518204357,34.4,1011.8,62,215,11.8,1.2,10293.5
58820,20230518204357,10.7,1009.4,31,162,2.7,1.4,10345.7
58834,20230518204357,11.1,1022.7,35,263,0.2,0.7,10434.3
58837,20230518204357,11.0,1018.5,8,220,1.8,1.1,10146.1
58843,20230518204357,31.3,1001.2,29,279,11.5,0.5,10078.9
58846,20230518204357,27.9,1005.6,52,324,7.0,0.6,10077.4
58847,20230518204357,23.5,1007.8,23,39,10.6,0.4,10076.1
58911,20230518204357,20.5,1017.3,37,153,10.8,0.3,10471.6
58918,20230518204357,19.6,1015.7,89,158,6.9,0.4,10344.7
58921,20230518204357,35.0,1010.2,6,71,14.5,0.4,10188.1
58926,20230518204357,24.2,1021.7,86,305,7.1,0.7,10300.5
58927,20230518204357,30.1,1000.5,79,81,6.1,0.2,10232.3
58931,20230518204357,1.6,1019.5,53,78,5.7,0.8,10071.1
58933,20230518204357,34.0,1025.8,99,114,6.8,0.7,10476.4
58936,20230518204357,11.7,1017.7,78,241,5.6,1.4,10455.1
58944,20230518204357,13.1,1022.4,43,288,3.9,0.0,10418.3
59113,20230518204357,6.7,1006.1,69,262,9.6,0.4,10326.0
59126,20230518204357,25.6,1016.8,81,83,2.1,1.1,10085.8
59133,20230518204357,31.1,1004.9,40,265,9.8,0.4,10114.8
59134,20230518204357,5.3,1018.5,85,274,10.4,1.4,10137.1
59321,20230518204357,10.6,1017.8,97,18,3.4,0.0,10350.2
52323,20230518204357,34.4,1019.2,93,6,10.2,0.5,10317.8
52418,20230518204357,25.2,1001.6,72,355,4.0,0.6,10404.3
52424,20230518204357,29.3,1014.3,59,166,11.1,1.0,10446.7
52436,20230518204357,19.2,1016.5,28,215,1.8,0.0,10249.3
52446,20230518204357,27.2,1001.2,35,175,3.1,1.5,10198.6
52447,20230518204357,0.4,1009.6,49,219,6.2,0.7,10370.3
52533,20230518204357,13.6,1019.7,47,15,6.2,0.0,10419.0
52546,20230518204357,1.2,1021.8,27,43,1.8,0.9,10089.7
52652,20230518204357,21.9,1003.1,25,230,12.4,1.5,10043.1
52661,20230518204357,8.7,1002.0,5,191,9.6,0.4,10105.5
52674,20230518204357,14.4,1009.3,77,244,5.7,0.2,10169.5
52679,20230518204357,15.3,1014.8,6,127,12.6,1.5,10493.7
52681,20230518204357,4.0,1024.7,2,142,6.8,0.9,10235.9
52787,20230518204357,1.0,1001.6,55,332,12.8,0.6,10337.7
52797,20230518204357,1.5,1007.7,98,6,13.8,0.5,10200.9
52884,20230518204357,7.5,1014.7,64,217,7.5,0.0,10146.1
52895,20230518204357,12.1,1021.2,8,179,9.1,0.8,10157.9
52983,20230518204357,28.6,1013.8,10,88,7.6,0.0,10091.0
52984,20230518204357,20.2,1007.4,8,1,13.9,0.4,10459.3
52986,20230518204357,6.4,1011.9,72,254,2.8,0.2,10407.3
52996,20230518204357,12.8,1024.1,62,78,1.0,1.2,10155.1
53821,20230518204357,30.9,1012.1,95,335,1.9,0.7,10124.5
53915,20230518204357,30.0,1005.7,88,194,9.4,1.0,10393.8
53923,20230518204357,6.5,1019.5,9,262,8.1,0.7,10329.5
56074,20230518204357,4.9,1022.7,85,256,7.5,0.5,10003.7
56080,20230518204357,26.0,1001.1,36,81,14.9,0.9,10196.4
56093,20230518204357,28.0,1008.2,32,247,10.2,0.2,10271.9
56096,20230518204357,0.8,1011.9,11,53,11.6,0.2,10209.5
57014,20230518204357,4.8,1017.6,36,320,1.8,1.2,10003.9
57996,20230518204357,28.5,1014.0,3,291,3.3,0.5,10093.5
59072,20230518204357,29.6,1020.8,82,72,0.1,0.5,10260.4
59082,20230518204357,25.1,1003.0,95,133,5.2,0.8,10360.0
59087,20230518204357,8.1,1004.6,34,200,2.9,0.4,10287.2
59088,20230518204357,29.0,1002.7,10,42,1.0,0.7,10447.2
59096,20230518204357,13.9,1016.6,52,128,11.9,0.8,10262.4
59097,20230518204357,23.8,1017.6,5,57,13.7,1.0,10326.0
59107,20230518204357,26.7,1007.1,21,319,3.4,1.3,10187.3
59116,20230518204357,24.4,1015.1,13,12,11.8,0.1,10097.1
59117,20230518204357,21.8,1023.9,86,194,8.7,0.8,10328.9
59271,20230518204357,15.3,1007.7,35,139,2.4,0.3,10450.0
59278,20230518204357,14.4,1012.9,44,4,14.8,1.2,10098.1
59280,20230518204357,6.0,1013.4,48,260,4.7,1.1,10384.6
59287,20230518204357,28.6,1020.4,24,106,2.0,1.2,10145.5
59289,20230518204357,33.3,1022.6,23,315,2.1,0.9,10332.0
59293,20230518204357,4.9,1024.3,8,310,8.9,1.5,10104.4
59294,20230518204357,10.5,1012.5,82,254,3.6,0.0,10345.1
59298,20230518204357,19.8,1003.9,91,302,12.3,1.0,10248.4
59303,20230518204357,33.6,1007.2,22,334,12.1,0.3,10075.8
59304,20230518204357,8.6,1025.9,68,171,5.4,1.1,10270.8
59306,20230518204357,1.3,1005.3,20,163,14.5,0.0,10232.6
59310,20230518204357,29.0,1020.6,84,9,2.0,0.6,10230.6
59316,20230518204357,0.4,1007.0,73,32,11.4,0.5,10324.3
59317,20230518204357,31.1,1015.5,68,1,14.7,1.4,10149.2
59324,20230518204357,11.2,1015.5,78,359,14.5,0.8,10280.1
59456,20230518204357,9.8,1011.6,45,306,3.2,0.0,10058.2
59462,20230518204357,0.8,1006.1,68,82,9.8,1.1,10459.3
59478,20230518204357,6.2,1015.6,93,230,7.8,0.7,10320.7
59485,20230518204357,21.7,1024.5,57,51,1.5,0.1,10351.3
59488,20230518204357,32.6,1006.4,18,323,13.5,0.2,10482.7
59493,20230518204357,21.3,1025.4,78,75,5.2,1.2,10332.9
59501,20230518204357,22.2,1006.2,73,354,12.5,0.9,10181.7
59658,20230518204357,18.9,1021.8,49,173,2.8,1.2,10083.4
59663,20230518204357,0.0,1013.6,99,137,2.7,0.8,10134.6
59664,20230518204357,25.9,1018.2,95,335,12.8,1.1,10120.6
59673,20230518204357,3.0,1013.4,90,322,10.8,0.1,10344.0
59754,20230518204357,11.9,1009.0,14,308,5.9,1.3,10224.3
57947,20230518204357,20.2,1018.6,90,175,11.4,1.2,10229.9
57957,20230518204357,7.0,1018.6,10,48,13.8,0.7,10370.8
57958,20230518204357,15.8,1024.1,56,78,9.5,0.4,10247.7
59021,20230518204357,14.4,1025.7,81,308,13.8,0.1,10287.3
59023,20230518204357,5.7,1012.3,55,268,3.1,1.1,10145.2
59027,20230518204357,18.5,1024.6,21,228,13.9,0.9,10179.7
59037,20230518204357,30.1,1002.7,93,115,11.0,1.5,10135.5
59046,20230518204357,8.0,1025.3,78,242,5.1,1.4,10477.8
59058,20230518204357,7.0,1005.5,84,100,6.6,0.1,10363.2
59065,20230518204357,12.1,1025.5,5,243,11.4,0.9,10022.9
59209,20230518204357,29.5,1010.9,33,73,3.9,0.8,10055.1
59211,20230518204357,10.4,1007.7,75,129,1.7,1.5,10059.3
59218,20230518204357,27.5,1018.3,75,181,11.9,0.1,10324.2
59228,20230518204357,25.2,1012.6,31,184,7.8,0.6,10264.6
59242,20230518204357,5.7,1013.6,64,18,1.8,0.7,10098.2
59254,20230518204357,27.9,1016.7,60,138,14.6,0.5,10372.0
59265,20230518204357,1.6,1008.9,40,112,5.2,0.1,10050.9
59417,20230518204357,7.6,1004.1,48,130,2.2,0.9,10409.0
59431,20230518204357,12.2,1001.0,28,45,2.9,0.2,10259.3
59446,20230518204357,14.6,1009.0,27,126,11.2,0.9,10025.8
59453,20230518204357,2.7,1011.3,33,61,1.2,1.1,10372.3
59626,20230518204357,22.3,1004.5,52,190,6.8,1.0,10230.6
59631,20230518204357,15.6,1000.2,48,204,4.4,1.0,10256.3
59632,20230518204357,17.5,1016.9,37,330,6.1,0.2,10074.4
59644,20230518204357,11.6,1026.0,94,123,12.3,0.5,10204.5
59647,20230518204357,3.4,1022.5,63,93,14.2,0.9,10266.2
56691,20230518204357,4.8,1004.3,45,292,9.2,0.7,10086.5
56693,20230518204357,11.0,1008.5,39,322,14.1,1.0,10375.5
56792,20230518204357,7.0,1022.9,14,247,13.9,1.4,10139.0
56793,20230518204357,29.0,1009.8,67,171,3.5,0.8,10479.4
57606,20230518204357,24.1,1010.0,49,161,1.0,0.0,10185.7
57614,20230518204357,14.8,1002.9,42,43,0.9,1.5,10111.9
57625,20230518204357,10.0,1008.8,94,6,14.7,1.4,10028.9
57647,20230518204357,29.6,1014.4,96,172,4.9,0.2,10097.6
57707,20230518204357,24.7,1025.1,60,65,14.4,0.3,10292.1
57710,20230518204357,33.8,1012.8,52,91,14.3,0.5,10173.1
57712,20230518204357,33.0,1017.1,16,69,3.4,0.4,10407.7
57718,20230518204357,33.8,1015.5,2,301,2.9,0.0,10477.5
57722,20230518204357,27.5,1023.4,29,297,11.1,0.0,10277.0
57729,20230518204357,24.3,1022.2,94,273,5.3,1.3,10334.6
57731,20230518204357,9.7,1012.7,83,182,2.0,1.3,10467.6
57741,20230518204357,11.3,1009.6,28,10,12.3,0.0,10491.7
57803,20230518204357,28.5,1020.3,38,155,4.3,1.0,10374.8
57805,20230518204357,17.3,1004.1,41,153,0.5,0.5,10323.4
57806,20230518204357,16.9,1007.5,4,14,7.4,0.9,10447.8
57816,20230518204357,22.4,1013.5,21,112,4.3,1.5,10193.8
57825,20230518204357,34.9,1021.9,59,130,11.0,0.4,10423.5
57827,20230518204357,1.9,1008.9,64,291,12.0,0.3,10094.5
57832,20230518204357,14.3,1007.3,51,34,12.1,0.5,10383.8
57839,20230518204357,15.0,1011.6,50,282,2.6,1.4,10344.8
57840,20230518204357,13.2,1015.4,42,317,0.1,1.5,10163.2
57902,20230518204357,25.8,1021.5,18,16,11.1,0.0,10324.4
57906,20230518204357,25.0,1018.7,4,311,12.8,1.3,10490.9
