站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
1111,20230518210722,7.1,1013.9,50,313,12.9,1.0,10397.3
58015,20230518210722,30.5,1019.7,44,44,1.7,1.4,10251.4
58102,20230518210722,23.9,1015.8,38,311,1.3,0.3,10349.7
58118,20230518210722,29.3,1018.6,75,339,14.0,1.3,10308.2
58122,20230518210722,7.4,1005.7,81,359,14.8,0.1,10033.9
58203,20230518210722,17.9,1009.5,60,34,6.4,0.2,10096.8
58215,20230518210722,23.4,1004.9,27,166,9.0,1.1,10481.2
58221,20230518210722,28.3,1024.5,18,80,3.1,0.0,10223.7
58225,20230518210722,19.9,1024.7,61,154,13.2,0.0,10292.5
58236,20230518210722,32.2,1016.4,58,40,11.1,0.0,10272.8
58311,20230518210722,29.3,1002.9,19,39,5.9,0.4,10122.5
58314,20230518210722,20.1,1006.1,96,86,6.2,1.2,10028.1
58319,20230518210722,11.8,1003.1,98,9,9.6,1.0,10380.2
58321,20230518210722,7.9,1000.9,37,50,12.8,1.4,10196.3
58326,20230518210722,19.3,1014.4,59,70,8.9,0.0,10177.1
58336,20230518210722,28.7,1009.4,96,243,3.5,0.6,10042.5
58338,20230518210722,20.6,1020.1,29,235,11.5,0.9,10371.9
58414,20230518210722,33.1,1024.9,61,93,9.4,1.2,10407.6
58419,20230518210722,30.7,1005.4,27,356,1.1,0.8,10478.6
58424,20230518210722,0.1,1026.4,69,142,8.8,1.1,10209.5
58429,20230518210722,3.5,1007.7,15,25,6.3,0.2,10191.9
58436,20230518210722,28.9,1019.2,90,51,11.3,0.1,10145.8
58437,20230518210722,8.4,1022.9,41,32,14.6,1.0,10079.7
58520,20230518210722,23.2,1023.5,40,339,12.1,0.7,10195.7
58531,20230518210722,22.3,1018.9,19,168,3.3,1.2,10159.7
54406,20230518210722,17.1,1018.6,87,297,5.3,1.5,10418.0
54416,20230518210722,26.8,1005.1,6,216,7.5,1.3,10496.2
54511,20230518210722,4.2,1009.5,61,310,2.2,0.3,10375.8
58725,20230518210722,8.8,1017.0,55,158,13.6,0.4,10480.0
58730,20230518210722,10.0,1016.9,64,198,4.0,0.5,10014.4
58731,20230518210722,13.9,1025.8,68,333,5.4,0.0,10323.1
58734,20230518210722,6.5,1009.1,50,215,13.7,1.0,10108.2
