站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
1111,20230518210622,23.0,1018.5,39,68,8.0,0.7,10494.5
58015,20230518210622,22.2,1019.5,83,40,1.8,1.1,10070.7
58102,20230518210622,8.8,1005.6,58,232,14.2,0.9,10494.1
58118,20230518210622,29.7,1021.8,83,272,5.2,0.0,10214.4
58122,20230518210622,1.3,1000.2,95,243,10.0,1.3,10251.8
58203,20230518210622,25.5,1004.8,32,340,5.0,0.5,10261.5
58215,20230518210622,28.5,1013.4,84,211,14.7,0.4,10120.7
58221,20230518210622,12.1,1014.8,92,319,12.1,1.3,10444.6
58225,20230518210622,31.5,1006.2,21,328,14.2,1.5,10042.3
58236,20230518210622,20.3,1001.5,9,114,11.0,0.3,10337.3
58311,20230518210622,5.6,1007.9,35,204,14.8,1.3,10213.1
58314,20230518210622,15.6,1002.6,84,187,5.1,0.7,10054.7
58319,20230518210622,6.1,1016.7,43,187,2.0,1.1,10377.8
58321,20230518210622,21.7,1012.2,13,186,3.4,1.2,10244.3
58326,20230518210622,21.6,1019.6,99,326,11.5,0.4,10413.9
58336,20230518210622,6.0,1002.8,18,333,1.6,1.3,10239.7
58338,20230518210622,24.5,1015.0,25,322,13.2,1.4,10401.1
58414,20230518210622,25.4,1022.8,51,28,11.5,1.0,10078.2
58419,20230518210622,8.0,1022.9,59,15,4.7,0.4,10098.7
58424,20230518210622,11.1,1015.0,96,259,9.5,0.9,10407.6
58429,20230518210622,5.2,1016.8,99,270,4.8,0.6,10400.9
58436,20230518210622,29.7,1025.0,15,325,12.6,0.0,10044.9
58437,20230518210622,21.2,1023.0,81,203,1.6,1.0,10250.5
58520,20230518210622,7.2,1026.4,45,345,9.1,1.5,10252.6
58531,20230518210622,31.0,1000.4,51,29,2.2,0.8,10116.4
54406,20230518210622,26.2,1017.4,4,243,11.6,1.0,10115.9
54416,20230518210622,1.4,1002.6,42,146,1.7,0.9,10146.6
54511,20230518210622,17.1,1001.1,72,179,1.7,0.7,10417.3
58725,20230518210622,21.6,1023.2,34,227,11.3,1.5,10322.1
58730,20230518210622,15.4,1001.5,80,198,6.1,1.5,10351.6
58731,20230518210622,8.5,1004.5,50,0,9.3,1.1,10252.3
58734,20230518210622,20.4,1021.8,40,158,13.6,1.5,10372.1
